HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
102,,,BBC Two,"3 HD regional variations: Network (Eng & Scot), Wales & NI.",101,10119 (Eng/Scot)/10120 (Wales)/10122 (NI),BBC,24 hours,Player,,
,,,,On-demand,,,,,,,
"103 (Eng, Wales)","113 (Eng, Wales)","114 (Eng (not CI), Wales)",ITV,"16 HD, 16 SD & 4 +1 regional variations (Virgin unavailable in CI or ScotB)",?,?,ITV Network Ltd (ITV plc),24 hours,Player,,
103 (ScotNotSB),,114 (ScotNotSB),STV,3 STV HD & 2 STV+1 regional variations.,102/102,"10215, 10218, 10219/10246 & 10253",ITV Network Ltd (STV Group),24 hours,Player,,Player
103 (NI),113 (NI),114 (NI),UTV,,102,10275/10220/10249,ITV Network Ltd (ITV plc),24 hours,Player,,
104 (London),"104 (except London, Wales)",142,Channel 4,"1 HD (London), 6 SD & 4 +1 advertising regions",102,10222/(10254-10258)/(10223-10227)/(10228-10233),Channel Four Television Corporation,24 hours,Player,,
141 (except London),108 (Wales),,,,,,,,,,
104 (Wales),,,S4C,Programmes in Welsh,27,2701,S4C Authority,07:00–00:00,Player,,
"166 (Eng, Scot, NI)",,,,,,,,,,,
105,154,155,Channel 5,,27/08/2008,2703/811/804,ViacomCBS Networks UK & Australia,24 hours,Player,,
145,106,146,E4,,28/08/2008,2904/821/822,Channel Four Television Corporation,24 hours,Player & Drama,Player,
107,,,BBC Four,On-demand,23,2305,BBC,18:58–05:30,Player,,
108 (Scot),,,BBC Scotland,On-demand,16,1603,BBC,10:00-11:40,Player,,
"162 (Eng, Wales, NI)",,,,,,,,19:00–0:00,,,
109,110,,Sky One,,26-Apr,2604/414,Sky UK Ltd,24 hours,Full House,Player & Drama,
111,112,180,Sky Witness,,29/03/2007,2901/325/718,Sky UK Ltd,24 hours,Full House,Player & Drama,
176,115,116,ITV2,,17/10/2003,1704/1020/313,ITV Digital Channels Ltd (ITV plc),24 hours,Player & Drama,Player,
177,117,174,ITV3,,17/11/2011,1705/1108/1109,ITV Digital Channels Ltd (ITV plc),24 hours,Player & Drama,Player,
178,118,175,ITV4,,17/10/2007,1706/1021/717,ITV Digital Channels Ltd (ITV plc),24 hours,Player & Drama,Player,
179,119,"120 (Eng, Wales, NI)",ITVBe,,25/10/2003,2502/1006/314,ITV Digital Channels Ltd (ITV plc),24 hours,Player & Drama,Player,
,,162 (Scot),,,,,,,,,
,120 (Scot),,BBC Alba,Programmes in Scottish Gaelic.,6,611,BBC/MG Alba,17:00–00:00 (Mon–Fri),,Player,
,,,,On-demand,,,,16:00–01:00 (Saturday),,,
,"161 (Eng, Wales, NI)",,,,,,,16:00–00:00 (Sunday),,,
121,122,,Sky Comedy,,13-Mar,1305/316,Sky UK Ltd,08:00–05:00,Full House,Player & Drama,
156,123,,Sky Arts,,23-Oct,2308/1014,Sky UK Ltd,24 hours,Full House,Player,
124,,194,Gold,,30-Mar,3005/307,UKTV (BBC Studios),07:00–04:00,Player & Drama,,Player & Drama
211,125,190,W,,18/02/2011,1804/209/1107,UKTV (BBC Studios),06:00–03:00,Player & Drama,,
212,126,191,Alibi,,28/02/2003,2803/203/301,UKTV (BBC Studios),07:00–04:00,Player & Drama,,
227,127,131,Dave,,18/02/2003,1803/201/303,UKTV (BBC Studios),07:00–04:00,Player & Drama,Player,
,,(Dave ja vu),,,,,,,,,
,128,,Really,,2,211,"Discovery, Inc",04:00–02:00,,Player,
,129,200,Yesterday,,02-Nov,207/1120,UKTV (BBC Studios),06:00–03:00,,Player,
,130,226,Drama,,2,210/220,UKTV (BBC Studios),07:00–04:00,,Player,
132,181,133,Comedy Central,,28/05/2007,2802/523/715,Paramount UK Partnership (Paramount British Pictures/Sky UK Ltd),08:00–05:00,Player & Drama,,
134,183,,MTV,,25-Apr,2506/401,ViacomCBS Networks UK & Australia,06:00–03:00,Full House,,
135,136,207,Sky Crime,,18/02/2011,1802/216/1102,Sky UK Ltd,24 hours,Full House,,
137,138,229,Syfy,,28/06/2021,2801/623/2131,NBCUniversal International Networks,11:00–08:00,Full House,Player & Drama,
139,140,,E!,,24-Jun,2407/627,NBCUniversal International Networks,07:00–05:00,Full House,,
